Record_time,value,us-abbr
2020-Aug,0.75,us-tx
2020-Sep,0.76,us-tx
2020-Oct,0.7,us-tx
2020-Nov,0.76,us-tx
2020-Dec,0.79,us-tx
2021-Jan,0.75,us-tx
2021-Feb,0.76,us-tx
2021-Mar,0.65,us-tx
2020-Feb,1,us-ut
2020-Mar,0.58,us-ut
2020-Apr,0.25,us-ut
2020-May,0.46,us-ut
2020-Jun,0.83,us-ut
2020-Jul,0.79,us-ut
2020-Aug,0.69,us-ut
2020-Sep,0.71,us-ut
2020-Oct,0.64,us-ut
2020-Nov,0.65,us-ut
2020-Dec,0.68,us-ut
2021-Jan,1.01,us-ut
2021-Feb,1.15,us-ut
2021-Mar,0.73,us-ut
2020-Feb,1,us-va
2020-Mar,0.47,us-va
2020-Apr,0.21,us-va
2020-May,0.34,us-va
2020-Jun,0.47,us-va
2020-Jul,0.52,us-va
2020-Aug,0.56,us-va
2020-Sep,0.6,us-va
2020-Oct,0.53,us-va
2020-Nov,0.52,us-va
2020-Dec,0.5,us-va
2021-Jan,0.54,us-va
2021-Feb,0.56,us-va
2021-Mar,0.45,us-va
2020-Feb,1,us-vt
2020-Mar,0.8,us-vt
2020-Apr,0.8,us-vt
2020-May,0.8,us-vt
2020-Jun,0.8,us-vt
2020-Jul,0.8,us-vt
2020-Aug,0.8,us-vt
2020-Sep,0.96,us-vt
2020-Oct,1,us-vt
2020-Nov,0.8,us-vt
2020-Dec,2.4,us-vt
2021-Jan,0.86,us-vt
2021-Feb,1.11,us-vt
2021-Mar,1.6,us-vt
2020-Feb,1,us-wa
2020-Mar,0.58,us-wa
2020-Apr,0.37,us-wa
2020-May,0.56,us-wa
2020-Jun,0.71,us-wa
2020-Jul,0.76,us-wa
2020-Aug,0.76,us-wa
2020-Sep,0.73,us-wa
2020-Oct,0.77,us-wa
2020-Nov,0.65,us-wa
2020-Dec,0.55,us-wa
2021-Jan,0.67,us-wa
2021-Feb,0.74,us-wa
2021-Mar,0.78,us-wa
2020-Feb,1,us-wi
2020-Mar,0.69,us-wi
2020-Apr,0.26,us-wi
2020-May,0.48,us-wi
2020-Jun,0.86,us-wi
2020-Jul,1.13,us-wi
2020-Aug,1.14,us-wi
2020-Sep,0.88,us-wi
2020-Oct,0.62,us-wi
2020-Nov,0.57,us-wi
2020-Dec,0.61,us-wi
2021-Jan,0.61,us-wi
2021-Feb,0.61,us-wi
2021-Mar,0.38,us-wi
2020-Feb,1,us-wv
2020-Mar,0.9,us-wv
2020-Apr,0.72,us-wv
2020-May,1.38,us-wv
2020-Jun,2.07,us-wv
2020-Jul,2.43,us-wv
2020-Aug,2.42,us-wv
2020-Sep,1.96,us-wv
2020-Oct,2.07,us-wv
2020-Nov,1.29,us-wv
2020-Dec,0.98,us-wv
2021-Jan,1.15,us-wv
2021-Feb,1.18,us-wv
2021-Mar,1.44,us-wv
2020-Feb,1,us-wy
2020-Mar,0.61,us-wy
2020-Apr,0.24,us-wy
2020-May,0.24,us-wy
2020-Jun,0.23,us-wy
2020-Jul,0.27,us-wy
2020-Aug,0.45,us-wy
2020-Sep,1.06,us-wy
2020-Oct,0.77,us-wy
2020-Nov,0.7,us-wy
2020-Dec,0.64,us-wy
2021-Jan,1.09,us-wy
2021-Feb,1.11,us-wy
2021-Mar,1.09,us-wy
