Record_time,value,us-abbr
2020-May,28497,us-va
2020-Jun,17389,us-va
2020-Jul,28014,us-va
2020-Aug,30814,us-va
2020-Sep,27106,us-va
2020-Oct,33672,us-va
2020-Nov,57671,us-va
2020-Dec,114703,us-va
2021-Jan,152873,us-va
2021-Feb,69534,us-va
2021-Mar,25008,us-va
2020-Jan,0,us-vi
2020-Feb,0,us-vi
2020-Mar,30,us-vi
2020-Apr,36,us-vi
2020-May,3,us-vi
2020-Jun,21,us-vi
2020-Jul,331,us-vi
2020-Aug,718,us-vi
2020-Sep,179,us-vi
2020-Oct,60,us-vi
2020-Nov,172,us-vi
2020-Dec,486,us-vi
2021-Jan,385,us-vi
2021-Feb,225,us-vi
2021-Mar,173,us-vi
2020-Jan,0,us-vt
2020-Feb,0,us-vt
2020-Mar,293,us-vt
2020-Apr,573,us-vt
2020-May,115,us-vt
2020-Jun,227,us-vt
2020-Jul,206,us-vt
2020-Aug,215,us-vt
2020-Sep,126,us-vt
2020-Oct,402,us-vt
2020-Nov,2015,us-vt
2020-Dec,3240,us-vt
2021-Jan,4553,us-vt
2021-Feb,3233,us-vt
2021-Mar,2049,us-vt
2020-Jan,1,us-wa
2020-Feb,6,us-wa
2020-Mar,4889,us-wa
2020-Apr,9431,us-wa
2020-May,7375,us-wa
2020-Jun,11122,us-wa
2020-Jul,22979,us-wa
2020-Aug,18832,us-wa
2020-Sep,12887,us-wa
2020-Oct,19979,us-wa
2020-Nov,57518,us-wa
2020-Dec,81733,us-wa
2021-Jan,66048,us-wa
2021-Feb,27456,us-wa
2021-Mar,12651,us-wa
2020-Jan,0,us-wi
2020-Feb,0,us-wi
2020-Mar,1351,us-wi
2020-Apr,5503,us-wi
2020-May,11549,us-wi
2020-Jun,13259,us-wi
2020-Jul,25272,us-wi
2020-Aug,23634,us-wi
2020-Sep,48555,us-wi
2020-Oct,108747,us-wi
2020-Nov,173860,us-wi
2020-Dec,108708,us-wi
2021-Jan,71702,us-wi
2021-Feb,25227,us-wi
2021-Mar,10376,us-wi
2020-Jan,0,us-wv
2020-Feb,0,us-wv
2020-Mar,162,us-wv
2020-Apr,963,us-wv
2020-May,885,us-wv
2020-Jun,895,us-wv
2020-Jul,3737,us-wv
2020-Aug,3608,us-wv
2020-Sep,5598,us-wv
2020-Oct,8612,us-wv
2020-Nov,23382,us-wv
2020-Dec,37492,us-wv
2021-Jan,35667,us-wv
2021-Feb,10854,us-wv
2021-Mar,4861,us-wv
2020-Jan,0,us-wy
2020-Feb,0,us-wy
2020-Mar,120,us-wy
2020-Apr,439,us-wy
2020-May,344,us-wy
2020-Jun,584,us-wy
2020-Jul,1239,us-wy
2020-Aug,1116,us-wy
2020-Sep,2106,us-wy
2020-Oct,7350,us-wy
2020-Nov,20007,us-wy
2020-Dec,11104,us-wy
2021-Jan,7503,us-wy
2021-Feb,2482,us-wy
2021-Mar,1085,us-wy
